A1,BD135193,-2.08,-1.33,-0.93,-1.1,-1.33,-1.1,-2.11,-2.24,-0.93,-1.33,-0.93,-1.1,-0.93,-2.11,-2.35,-1.1,-0.93,-0.93,-19.89,-4.9,0.75,0.06
A2,BD135193,-0.93,-1.1,-1.33,-1.1,-2.11,-2.24,-0.93,-1.33,-0.93,-1.1,-0.93,-2.11,-2.35,-1.1,-0.93,-0.93,-1.33,-1.1,-18.46,-4.88,0.75,0.08
A3,BD135193,-2.35,-1.1,-0.93,-0.93,-1.33,-1.1,-1.33,-2.24,-2.11,-0.93,-1.1,-0.93,-2.35,-3.26,-2.08,-0.93,-0.93,-2.35,-23.76,-5.88,1.69,0.03
A4,BD135193,-2.11,-0.93,-1.1,-0.93,-2.35,-3.26,-2.08,-0.93,-0.93,-2.35,-2.11,-0.93,-1.1,-0.93,-0.93,-0.93,-1.33,-1.1,-21.36,-5.9,1.69,0.01
A5,BD135193,-2.11,-2.08,-2.35,-2.24,-3.26,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-23.08,-4.63,1.31,0.05
A6,BD135193,-2.08,-2.35,-2.24,-3.26,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-2.35,-22.87,-4.63,1.31,0.05
A7,BD135193,-2.24,-3.26,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-2.35,-0.93,-0.93,-20.3,-4.31,1.31,0.07
A8,BD135193,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-2.35,-0.93,-0.93,-2.08,-2.24,-19.12,-3.31,4.46,0.02
A9,BD135193,-1.33,-0.93,-2.08,-2.35,-0.93,-0.93,-2.08,-2.24,-0.93,-1.33,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-2.35,-1.1,-23.4,-4.14,2.12,0.19
A10,BD135193,-0.93,-2.08,-2.24,-0.93,-1.33,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-2.35,-1.1,-0.93,-2.35,-3.26,-2.11,-1.1,-25.08,-5.28,0.06,0.07
A11,BD135193,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-2.35,-1.1,-0.93,-2.35,-3.26,-2.11,-1.1,-0.93,-0.93,-2.11,-2.35,-2.08,-26.42,-6.15,1.15,0.18
